# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_upstream_gene_variant
BLM	BLM	NM_000057.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BLTP3A	BLTP3A	NM_017754.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BMPER	BMPER	NM_001365308.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BMS1	BMS1	NM_014753.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
BNC1	BNC1	NM_001717.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BNC2	BNC2	NM_017637.6	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
BORCS5	BORCS5	NM_058169.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BPTF	BPTF	NM_182641.4	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0
BRAF	BRAF	NM_001374258.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
BRAF	BRAF	NM_004333.6	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0
BRCA1	BRCA1	NM_007294.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BRCA2	BRCA2	NM_000059.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BRD1	BRD1	NM_001304808.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BRD2	BRD2	NM_005104.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BRF1	BRF1	NM_001519.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BRIP1	BRIP1	NM_032043.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BTAF1	BTAF1	NM_003972.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
BTD	BTD	NM_001370658.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BZW2	BZW2	NM_014038.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
C12orf54	C12orf54	NM_152319.4	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
C12orf56	C12orf56	NM_001170633.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
C13orf42	C13orf42	NM_001351589.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
C16orf89	C16orf89	NM_001098514.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
C17orf58	C17orf58	NM_001382359.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
C19orf44	C19orf44	NM_032207.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
C19orf53	C19orf53	NM_014047.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
C1GALT1C1	C1GALT1C1	NM_001011551.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
C1orf167	C1orf167	NM_001010881.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
C1orf232	C1orf232	NM_001364669.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
C20orf173	C20orf173	NM_001145350.2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
C2CD3	C2CD3	NM_001286577.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
C2orf50	C2orf50	NM_001371321.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
C3orf38	C3orf38	NM_173824.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
C3orf62	C3orf62	NM_198562.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
C4orf51	C4orf51	NM_001080531.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
C5	C5	NM_001735.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
C5orf34	C5orf34	NM_198566.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
C5orf46	C5orf46	NM_206966.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
C6orf132	C6orf132	NM_001164446.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1
C7orf50	C7orf50	NM_001318252.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
C8orf34	C8orf34	NM_052958.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CA12	CA12	NM_001218.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CACHD1	CACHD1	NM_020925.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CACNA2D1	CACNA2D1	NM_000722.4	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	4	1	0	0
CACNA2D3	CACNA2D3	NM_018398.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CACNB2	CACNB2	NM_201590.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CACNB2	CACNB2	NM_201596.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CACNB4	CACNB4	NM_000726.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CACNG3	CACNG3	NM_006539.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CACNG5	CACNG5	NM_145811.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CADM1	CADM1	NM_001301043.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CADM2	CADM2	NM_001167675.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CADPS	CADPS	NM_003716.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CADPS2	CADPS2	NM_017954.11	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CALCOCO2	CALCOCO2	NM_005831.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CALHM6	CALHM6	NM_001010919.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CALN1	CALN1	NM_031468.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
CALU	CALU	NM_001219.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CAMK2B	CAMK2B	NM_001220.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CAMKK1	CAMKK1	NM_032294.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CAMTA1	CAMTA1	NM_015215.4	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0
CAP2	CAP2	NM_006366.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CAPN10	CAPN10	NM_023083.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CAPN11	CAPN11	NM_007058.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CAPN2	CAPN2	NM_001748.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CAPZB	CAPZB	NM_004930.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CARD8	CARD8	NM_001184900.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CARS2	CARS2	NM_024537.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CASQ2	CASQ2	NM_001232.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
CATSPERE	CATSPERE	NM_001130957.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CBFA2T3	CBFA2T3	NM_005187.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CBR1	CBR1	NM_001757.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CCAR1	CCAR1	NM_018237.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CCDC106	CCDC106	NM_001370470.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC113	CCDC113	NM_014157.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC124	CCDC124	NM_001136203.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC125	CCDC125	NM_176816.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_144978.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC144A	CCDC144A	NM_001382000.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC150	CCDC150	NM_001080539.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC157	CCDC157	NM_001017437.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC18	CCDC18	NM_001378204.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC192	CCDC192	NM_001317938.2	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0
CCDC32	CCDC32	NM_001080792.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC57	CCDC57	NM_001394669.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CCDC6	CCDC6	NM_005436.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1
CCDC60	CCDC60	NM_178499.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CCDC62	CCDC62	NM_201435.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CCDC63	CCDC63	NM_152591.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC68	CCDC68	NM_025214.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC73	CCDC73	NM_001008391.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCDC83	CCDC83	NM_001286159.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CCDC88A	CCDC88A	NM_001365480.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCL24	CCL24	NM_002991.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CCND3	CCND3	NM_001760.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CCNT2	CCNT2	NM_058241.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCPG1	CCPG1	NM_001204450.2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CCSER1	CCSER1	NM_001145065.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0
CCT5	CCT5	NM_012073.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CCZ1	CCZ1	NM_015622.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CD226	CD226	NM_001303618.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CD248	CD248	NM_020404.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
CD28	CD28	NM_006139.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CD99	CD99	NM_002414.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDA	CDA	NM_001785.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CDC123	CDC123	NM_006023.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDC14B	CDC14B	NM_033331.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDC25A	CDC25A	NM_001789.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CDC42	CDC42	NM_001791.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDC42BPG	CDC42BPG	NM_017525.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CDCA7L	CDCA7L	NM_018719.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDCP1	CDCP1	NM_022842.5	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0
CDH18	CDH18	NM_004934.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDH2	CDH2	NM_001792.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDH23	CDH23	NM_022124.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDH3	CDH3	NM_001793.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDH4	CDH4	NM_001794.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CDHR5	CDHR5	NM_021924.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CDIPT	CDIPT	NM_006319.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CDK13	CDK13	NM_003718.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CDK17	CDK17	NM_002595.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDK5RAP2	CDK5RAP2	NM_018249.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDKAL1	CDKAL1	NM_017774.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDKN3	CDKN3	NM_005192.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CDR2L	CDR2L	NM_014603.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CDYL2	CDYL2	NM_152342.4	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0
CECR2	CECR2	NM_001290047.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CELA1	CELA1	NM_001971.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CELF5	CELF5	NM_021938.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CELF6	CELF6	NM_052840.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CEP112	CEP112	NM_001199165.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CEP63	CEP63	NM_001353108.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CEP76	CEP76	NM_024899.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CERCAM	CERCAM	NM_016174.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CERS5	CERS5	NM_147190.5	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CERT1	CERT1	NM_001379029.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CFAP298	CFAP298	NM_021254.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CFAP300	CFAP300	NM_032930.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CFAP57	CFAP57	NM_001378189.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CFAP61	CFAP61	NM_015585.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CFAP74	CFAP74	NM_001304360.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CFL2	CFL2	NM_138638.5	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
CFLAR	CFLAR	NM_003879.7	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CHCHD3	CHCHD3	NM_017812.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CHD9NB	CHD9NB	NM_001396020.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CHERP	CHERP	NM_006387.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CHRNA2	CHRNA2	NM_000742.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CHRNA5	CHRNA5	NM_000745.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CHRND	CHRND	NM_000751.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CHST12	CHST12	NM_018641.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CHST8	CHST8	NM_001127895.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CHSY1	CHSY1	NM_014918.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CIB1	CIB1	NM_006384.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CILP	CILP	NM_003613.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CIZ1	CIZ1	NM_001131016.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CKAP5	CKAP5	NM_001008938.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLBA1	CLBA1	NM_174891.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLCA4	CLCA4	NM_012128.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLCN4	CLCN4	NM_001830.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLCN7	CLCN7	NM_001287.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLDN4	CLDN4	NM_001305.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CLEC16A	CLEC16A	NM_015226.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLEC17A	CLEC17A	NM_001204118.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLEC2D	CLEC2D	NM_013269.6	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CLIC4	CLIC4	NM_013943.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLIC6	CLIC6	NM_053277.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
CLIP1	CLIP1	NM_001247997.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLMN	CLMN	NM_024734.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLN8	CLN8	NM_018941.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLOCK	CLOCK	NM_004898.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CLPTM1	CLPTM1	NM_001294.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLSTN1	CLSTN1	NM_001009566.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLSTN2	CLSTN2	NM_022131.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLUH	CLUH	NM_001366661.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CLUL1	CLUL1	NM_001393344.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CLYBL	CLYBL	NM_206808.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CMSS1	CMSS1	NM_032359.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CNDP1	CNDP1	NM_032649.6	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
CNGB3	CNGB3	NM_019098.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CNKSR1	CNKSR1	NM_006314.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNRIP1	CNRIP1	NM_015463.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CNTN4	CNTN4	NM_175607.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
CNTN6	CNTN6	NM_001289080.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CNTNAP2	CNTNAP2	NM_014141.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
COBL	COBL	NM_015198.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COG3	COG3	NM_031431.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COL11A2	COL11A2	NM_080680.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
COL23A1	COL23A1	NM_173465.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COL24A1	COL24A1	NM_152890.7	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COL26A1	COL26A1	NM_001278563.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
COL27A1	COL27A1	NM_032888.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COL2A1	COL2A1	NM_001844.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COL3A1	COL3A1	NM_000090.4	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0
COL4A3	COL4A3	NM_000091.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COL5A2	COL5A2	NM_000393.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
COL6A1	COL6A1	NM_001848.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COMMD7	COMMD7	NM_053041.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COP1	COP1	NM_022457.7	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
COPG2	COPG2	NM_012133.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
COQ6	COQ6	NM_182476.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
COQ8B	COQ8B	NM_024876.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
COTL1	COTL1	NM_021149.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
COX10	COX10	NM_001303.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CPA4	CPA4	NM_016352.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CPAMD8	CPAMD8	NM_015692.5	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
CPEB3	CPEB3	NM_014912.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CPHXL	CPHXL	NM_001355613.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CPLANE1	CPLANE1	NM_001384732.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CPLX2	CPLX2	NM_001008220.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CPM	CPM	NM_198320.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CPNE3	CPNE3	NM_003909.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CPSF1	CPSF1	NM_013291.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CPSF2	CPSF2	NM_017437.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CPT1A	CPT1A	NM_001876.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CPVL	CPVL	NM_031311.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CR1L	CR1L	NM_175710.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CRACD	CRACD	NM_001393381.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CREG1	CREG1	NM_003851.3	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
CRHBP	CRHBP	NM_001882.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CRISPLD2	CRISPLD2	NM_031476.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CROCC	CROCC	NM_014675.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CRTC3	CRTC3	NM_022769.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CRYBG1	CRYBG1	NM_001371242.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CRYBG3	CRYBG3	NM_153605.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CRYL1	CRYL1	NM_015974.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2
CSDE1	CSDE1	NM_001007553.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CSF2RA	CSF2RA	NM_172245.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CSGALNACT1	CSGALNACT1	NM_001354483.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
CSK	CSK	NM_004383.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CSMD1	CSMD1	NM_033225.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CSMD2	CSMD2	NM_001281956.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CSNK1E	CSNK1E	NM_152221.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CSNK2A1	CSNK2A1	NM_177559.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CSTA	CSTA	NM_005213.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CTCF	CTCF	NM_006565.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CTDSPL2	CTDSPL2	NM_016396.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
